,Latitude (deg),Longitude (deg),Population Estimate
77831,30.7347,-95.9238,3179.0
77837,31.0106,-96.6656,1922.0
77840,30.6079,-96.3240,59371.0
77969,28.7689,-96.6492,246.0
77990,28.4078,-96.9523,811.0
77016,29.8558,-95.2960,30741.0
77018,29.8266,-95.4256,28229.0
77029,29.7617,-95.2552,17781.0
77044,29.9059,-95.1703,48783.0
77048,29.6202,-95.3268,18383.0
77051,29.6561,-95.3774,17221.0
77054,29.6783,-95.4095,23267.0
77059,29.6092,-95.1199,17254.0
77062,29.5725,-95.1359,26477.0
77066,29.9626,-95.4994,35676.0
77075,29.6234,-95.2636,44517.0
77078,29.8514,-95.2587,15663.0
77085,29.6258,-95.4920,17991.0
77950,28.4023,-96.8545,170.0
77957,28.9802,-96.7319,8735.0
77975,29.5535,-97.0969,1609.0
77979,28.5472,-96.6521,17916.0
77988,28.8537,-96.8775,559.0
77482,29.0905,-95.9104,1779.0
77484,30.0846,-95.9328,10875.0
77486,29.1554,-95.6717,7491.0
77506,29.7188,-95.2032,38765.0
77518,29.5080,-94.9805,10856.0
77520,29.7707,-94.8754,35350.0
77532,29.9357,-95.0594,29963.0
77533,30.1104,-94.6600,938.0
77541,29.0353,-95.3372,18609.0
77561,30.1701,-94.7191,103.0
77565,29.5351,-95.0327,8650.0
77577,29.2546,-95.1937,1481.0
77586,29.5783,-95.0385,22548.0
77598,29.5493,-95.1392,26460.0
77612,30.4184,-94.0010,9408.0
77619,29.9496,-93.9200,15662.0
77002,29.7502,-95.3677,15613.0
77091,29.8554,-95.4448,27750.0
77024,29.7638,-95.5005,38190.0
77036,29.6935,-95.5256,74472.0
77046,29.7316,-95.4348,1207.0
77049,29.8415,-95.1463,36434.0
77061,29.6528,-95.2834,26253.0
77073,30.0028,-95.3941,39939.0
77076,29.8605,-95.3833,36009.0
77079,29.7750,-95.6019,34122.0
77080,29.8139,-95.5196,45586.0
77087,29.6858,-95.2998,37886.0
75421,33.6184,-95.6722,666.0
75453,32.9907,-95.9397,3046.0
75474,32.9225,-96.0895,15017.0
75477,33.5383,-95.7508,1183.0
75492,33.5676,-95.9980,456.0
75561,33.4818,-94.2955,4939.0
75565,32.9510,-94.0809,206.0
75572,33.2175,-94.1492,3896.0
75605,32.5833,-94.7230,30501.0
75639,32.2773,-94.1953,2926.0
75670,32.5417,-94.4131,17539.0
75684,32.2736,-94.9318,7894.0
75692,32.4646,-94.1444,4414.0
75708,32.4198,-95.2055,7698.0
75750,32.2788,-95.0673,3766.0
75759,32.0416,-95.4199,54.0
75778,32.3091,-95.7207,2947.0
75035,33.1615,-96.7692,75485.0
75038,32.8750,-96.9833,29990.0
75051,32.7266,-96.9914,40923.0
75060,32.7967,-96.9505,47764.0
75856,31.1840,-95.2021,215.0
75024,33.0838,-96.8128,43551.0
75028,33.0292,-97.0687,47804.0
75039,32.8813,-96.9448,20108.0
75041,32.8753,-96.6480,30880.0
75043,32.8622,-96.5837,62601.0
75056,33.0724,-96.9070,60554.0
75076,33.8199,-96.6960,8156.0
75102,32.0832,-96.6214,1358.0
75082,32.9927,-96.6643,23483.0
75093,33.0367,-96.8135,46788.0
75103,32.4954,-95.8963,14530.0
75116,32.6616,-96.9165,19867.0
75117,32.7006,-95.8661,3984.0
75126,32.7314,-96.4463,48987.0
79765,31.9415,-102.3184,16486.0
79109,35.1607,-101.8761,44600.0
79225,34.2371,-99.5460,1069.0
79226,34.9657,-100.8148,2861.0
79227,33.9878,-99.7615,1302.0
79234,34.1981,-100.9961,26.0
79248,34.0749,-100.2582,1621.0
79251,34.9236,-100.4256,13.0
79256,33.8988,-100.7796,290.0
79257,34.5303,-101.2316,822.0
79261,34.4714,-100.6811,370.0
79336,33.6068,-102.3465,17270.0
79339,33.9411,-102.2614,6617.0
79344,33.8633,-102.9374,161.0
79781,30.6837,-101.9819,263.0
